"","ResponseId","age","gender","Q4_1","Q4_2","Q4_3","Q4_4","Q4_5","Q4_6","Q4_7","Q4_8","Q4_9","Q4_10","Q4_11","Q4_12","Q4_13","Q4_14","Q4_15","Q4_16","Q4_17","Q4_18","Q4_19","Q4_20","Q4_21","Q4_22","Q4_23","Q4_24","Q4_25","Q4_26","Q4_27","Q4_28","Q4_29","Q4_30","Q4_31","Q4_32","Q4_33","Q4_34","Q4_35","Q4_36","Q4_37","Q4_38","Q4_39","Q4_40","Q4_41","Q4_42","Q4_43","Q4_44","Q4_45","Q4_46","Q4_47","Q4_48","Q4_49","Q4_50","Q4_51","Q4_52","Q4_53","Q4_54","Q4_55","Q4_56","Q4_57","Q4_58","Q4_59","Q4_60"
"1","R_3O9fzdsGn9tEeOm",18,"man",5,4,1,1,5,3,5,1,2,4,2,4,5,4,4,4,5,4,5,2,4,2,4,3,4,1,4,1,1,4,4,5,5,5,3,4,1,5,4,5,4,5,5,2,4,4,3,1,2,5,3,5,4,5,3,4,4,1,4,3
"2","R_12z0hyaE0u5KaRG",17,"man",4,4,5,1,5,3,5,5,1,4,4,4,4,5,2,4,1,4,5,4,1,3,5,1,3,4,4,4,1,1,5,5,1,5,4,4,4,2,5,5,2,5,5,1,1,4,4,5,1,2,5,5,2,5,3,1,4,5,5,4
"3","R_2VmvNkJQ6RpY3PV",18,"prefer not to say",3,5,4,2,2,4,4,4,2,4,3,4,3,4,3,4,4,3,4,3,3,4,3,3,3,4,4,4,2,3,4,3,3,4,4,3,3,4,4,3,2,3,4,2,3,4,3,3,2,4,3,4,4,4,3,3,3,4,4,2
"4","R_eboWF1vMzPIVPi1",27,"man",4,2,5,1,2,5,2,5,2,5,2,5,1,5,4,1,2,1,5,5,4,4,5,1,2,5,1,5,1,2,1,2,1,5,4,4,5,2,5,5,1,5,2,1,4,5,4,5,1,2,2,2,4,5,2,2,2,5,5,2
"5","R_1jBz09Q5pO9alkq",17,"man",4,5,1,2,1,3,4,4,1,5,2,3,4,5,3,4,1,4,4,5,2,4,4,2,2,4,1,2,1,2,5,4,4,5,5,3,4,4,5,5,4,4,5,2,2,3,2,1,2,1,5,4,4,5,2,3,1,4,5,2
"6","R_pui4ZWuxPsJ7vUt",28,"man",2,5,5,2,1,3,5,1,2,5,1,2,5,3,5,4,1,2,5,4,1,1,5,5,1,3,4,5,2,1,5,4,1,4,5,1,1,4,2,5,4,1,5,4,2,2,1,4,1,1,4,5,1,2,1,5,2,4,4,5
"7","R_1pAahws3kZTz4N9",20,"man",4,2,1,4,1,4,5,5,4,5,2,2,5,5,4,5,4,5,4,5,4,1,3,3,2,4,4,5,5,1,5,5,5,4,5,1,2,5,5,5,4,4,5,5,1,2,2,1,1,4,3,5,5,4,4,2,3,4,1,4
"8","R_3p6d9IOlYwS3k32",21,"non-binary",4,5,2,1,1,5,3,1,5,5,2,5,4,2,5,4,1,5,5,5,5,4,4,3,1,5,1,4,1,1,2,5,5,5,4,2,4,4,4,5,3,5,3,4,1,5,2,2,1,1,2,4,5,4,1,5,1,4,5,5
"9","R_1jVTrTyh1o81BZp",18,"man",5,4,1,1,2,5,5,2,3,5,1,1,5,4,4,1,5,4,4,3,4,1,1,4,1,4,5,2,2,2,4,5,4,5,4,3,1,5,4,4,4,4,5,1,2,5,1,2,1,4,1,5,5,4,2,5,5,2,5,5
"10","R_vPly7r4CURSDWkV",18,"man",4,5,1,1,2,3,4,1,2,3,4,4,5,4,4,4,5,5,4,4,4,1,2,2,4,2,4,1,1,4,4,5,5,5,2,3,1,4,5,5,4,4,5,2,4,4,2,1,1,5,3,5,5,5,4,4,4,2,2,2
"11","R_1FEWhh6TjBRQ3xn",18,"woman",5,2,4,4,4,4,3,4,3,3,2,4,3,3,4,1,5,3,2,5,5,3,4,5,2,1,2,3,5,1,2,3,3,3,2,1,4,3,1,4,5,4,3,5,3,4,5,4,4,5,2,5,2,1,3,4,2,4,1,4
"12","R_3R7mZz70I5bGAC6",18,"man",2,5,1,1,2,4,5,1,2,5,2,2,5,4,4,5,5,5,5,2,4,1,2,2,1,2,5,2,2,4,5,5,5,5,2,2,2,5,5,5,2,4,5,2,2,2,3,1,5,4,1,5,5,4,2,4,5,1,4,4
"13","R_32OWugvuB3UkHHv",18,"man",4,5,2,5,2,1,5,4,2,5,4,2,4,5,4,5,1,4,4,4,2,1,4,1,4,3,5,2,1,2,4,5,4,2,5,4,2,4,5,4,2,2,5,4,1,2,2,2,2,4,5,5,4,5,2,2,4,2,5,2
"14","R_WpNKFio84T3laYF",17,"man",4,5,5,2,4,4,5,3,2,5,1,3,5,4,3,3,1,4,3,3,3,3,2,4,2,4,2,2,2,2,4,5,4,4,3,3,4,4,3,3,4,3,5,2,4,4,3,2,2,4,3,5,2,4,3,4,2,3,4,5
"15","R_1dMpKUiIwU3yj85",42,"man",4,1,1,2,3,1,5,1,3,1,2,4,1,4,3,4,4,4,4,3,3,3,4,4,1,2,4,1,2,4,4,5,4,2,5,2,1,3,3,5,4,2,4,4,2,4,3,1,2,1,4,1,5,3,2,4,2,1,4,3
