participant_ID,bounce_back_quickly,hard_time_stressful_events,long_to_recover_stress,snap_back_difficulty,through_difficult_times,long_time_over_setbacks
1,3,5,3,4,3,4
2,4,5,4,1,5,NA
3,2,3,1,3,3,3
4,5,1,NA,2,1,3
5,1,2,NA,4,3,NA
6,3,3,3,2,2,5
7,2,2,5,5,4,3
8,5,3,2,2,3,2
9,2,3,3,2,3,1
10,2,2,2,4,4,3
11,NA,3,5,3,3,4
12,2,2,2,5,5,2
13,4,3,4,3,2,5
14,2,2,3,2,1,4
15,3,3,5,3,3,4
16,5,1,3,3,3,3
17,3,3,3,4,2,2
18,3,3,3,4,4,2
19,3,1,1,3,3,3
20,1,4,2,1,4,NA
21,5,3,3,2,3,3
22,4,2,1,1,2,4
23,4,2,3,1,1,2
24,1,2,5,3,3,2
25,4,2,3,4,1,NA
26,4,4,3,5,4,3
27,2,3,3,1,5,2
28,2,1,3,3,3,3
29,3,2,NA,3,1,2
30,3,NA,3,1,4,4
31,1,3,3,3,3,2
32,1,4,3,4,5,3
33,4,2,4,2,1,3
34,4,4,2,3,1,3
35,3,3,1,4,3,3
36,2,5,3,NA,3,4
37,4,3,4,3,5,3
38,3,3,1,3,5,1
39,3,4,2,4,3,5
40,3,1,3,3,3,5
41,3,3,5,4,4,2
42,2,3,3,NA,3,3
43,2,2,2,4,3,2
44,3,2,2,2,1,3
45,3,4,3,4,3,3
46,3,1,3,5,5,3
47,3,4,5,2,3,2
48,2,1,2,3,2,4
49,3,NA,2,5,3,3
50,5,3,2,NA,4,2
51,3,3,4,4,2,3
52,2,3,4,5,3,2
53,4,2,4,2,2,3
54,3,3,3,2,2,5
55,2,3,2,5,1,5
56,3,2,2,4,2,3
57,3,2,NA,4,1,2
58,4,2,4,4,3,4
59,5,5,3,4,5,3
60,3,4,3,3,NA,4
61,4,3,4,3,3,5
62,3,4,NA,3,1,1
63,3,3,3,1,2,4
64,NA,3,4,3,3,3
65,5,2,2,2,2,4
66,2,3,1,3,2,3
67,5,5,2,5,5,2
68,NA,5,2,2,1,3
69,4,NA,3,2,2,3
70,2,4,2,1,3,3
71,4,3,3,3,3,2
72,4,3,2,NA,3,5
73,4,2,1,4,4,4
74,3,2,2,3,4,3
75,2,3,2,NA,3,4
76,3,3,3,NA,3,3
77,3,2,3,4,2,1
78,4,3,3,4,3,4
79,3,4,3,4,3,3
80,3,2,2,NA,1,3
81,3,4,5,3,3,3
82,4,2,3,3,1,5
83,2,3,4,4,4,2
84,4,2,2,3,3,1
85,3,4,3,3,2,1
86,2,2,3,3,5,2
87,1,3,4,4,4,3
88,NA,5,3,5,2,4
89,5,3,5,3,2,5
90,3,2,3,3,2,1
91,3,2,4,3,3,2
92,4,3,5,1,5,4
93,3,2,3,2,3,NA
94,4,3,3,4,2,NA
95,3,2,4,1,2,3
96,3,NA,3,NA,3,4
97,4,3,3,3,1,2
98,3,4,2,1,3,4
99,2,2,2,4,3,1
100,2,3,3,3,4,3
101,2,2,4,4,2,4
102,3,2,2,5,3,4
103,2,2,3,3,3,4
104,1,5,1,1,5,5
105,2,4,3,NA,3,NA
106,5,2,3,3,3,5
